epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
47.0,0.0,1.3917700052261353,2.7616825103759766,1.3992916345596313,48,4200.0,1050.0
48.0,0.0,1.3819741010665894,2.1570521382724537,1.3823076486587524,49,4200.0,1050.0
49.0,0.0,1.3746682405471802,2.7112126069910385,1.4354298114776611,50,4200.0,1050.0
50.0,0.0,1.3701279163360596,2.8261405439937817,1.386888027191162,51,4200.0,1050.0
51.0,0.0,1.3653470277786255,2.1857061315985287,1.3677771091461182,52,4200.0,1050.0
52.0,0.0,1.3549200296401978,1.4382420287412756,1.356606125831604,53,4200.0,1050.0
53.0,0.0,1.341637134552002,0.5131622062009924,1.3420838117599487,54,4200.0,1050.0
54.0,0.0,1.3358465433120728,-0.0441360684002147,1.3378244638442993,55,4200.0,1050.0
55.0,0.0,1.3316446542739868,0.22840356125551112,1.3408530950546265,56,4200.0,1050.0
56.0,0.0,1.325390338897705,0.004192941329058479,1.3522065877914429,57,4200.0,1050.0
57.0,0.0,1.3149316310882568,0.03176723508273854,1.348313808441162,58,4200.0,1050.0
58.0,0.0,1.3079068660736084,-0.5824636010562673,1.3183856010437012,59,4200.0,1050.0
59.0,0.0,1.303152084350586,-1.0095665104248945,1.3061063289642334,60,4200.0,1050.0
60.0,0.0,1.2977166175842285,-1.0938418121898876,1.303415298461914,61,4200.0,1050.0
61.0,0.0,1.2977166175842285,-0.6580494221519021,1.3078958988189697,62,4200.0,1050.0
62.0,0.0,1.2908837795257568,-0.8215653335346895,1.2992161512374878,63,4200.0,1050.0
63.0,0.0,1.2908837795257568,-1.3446131664163925,1.2961056232452393,64,4200.0,1050.0
64.0,0.0,1.2821969985961914,-1.674937970498029,1.2884547710418701,65,4200.0,1050.0
65.0,0.0,1.2821969985961914,-2.009724084068747,1.2847756147384644,66,4200.0,1050.0
66.0,0.0,1.2743557691574097,-2.6830643205081715,1.2778184413909912,67,4200.0,1050.0
67.0,0.0,1.2708927392959595,-2.8222058169982014,1.2754617929458618,68,4200.0,1050.0
68.0,0.0,1.2617037296295166,-3.4828452783472397,1.2645233869552612,69,4200.0,1050.0
